code,constituency,candidate,party,evm_votes,postal_votes,total_votes,percentage_votes,round,last_updated_time,last_updated_date,party_full_name,party_short,rank_in_constituency,winner_votes,runner_up_votes,winning_margin_votes,winning_margin_percentage
S22144,MANACHANALLUR - 144,KATHIRAVAN. S,Dravida Munnetra Kazhagam,80054,1393,81447,38.82,22/22,11:27 PM,04/05/2026,Dravida Munnetra Kazhagam,DMK,1,81447,69083,12364,15.180424079462718
S22187,MANAMADURAI - 187,ELANGOVAN.D,Tamilaga Vettri Kazhagam,68882,1089,69971,33.54,27/27,11:27 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,69971,68763,1208,1.726429520801475
S22138,MANAPPARAI - 138,R. KATHIRAVAN,Tamilaga Vettri Kazhagam,82268,773,83041,34.43,26/26,11:27 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,83041,81615,1426,1.7172240218687154
S22167,MANNARGUDI - 167,KAMARAJ. S,Amma Makkal Munnettra Kazagam,67837,579,68416,35.25,22/22,11:27 PM,04/05/2026,Amma Makkal Munnettra Kazagam,AMMK,1,68416,66850,1566,2.288938260056127
S22161,MAYILADUTHURAI - 161,JAMAL MOHAMED YOUNOOS. Y.N,Indian National Congress,67189,822,68011,36.09,22/22,11:27 PM,04/05/2026,Indian National Congress,INC,1,68011,57166,10845,15.945949919865903
S22188,MELUR - 188,P.VISWANATHAN,Indian National Congress,59486,594,60080,31.5,21/21,11:27 PM,04/05/2026,Indian National Congress,INC,1,60080,57356,2724,4.5339547270306255
S22111,METTUPPALAYAM - 111,SUNILANAND,Tamilaga Vettri Kazhagam,75392,272,75664,30.97,27/27,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,75664,67896,7768,10.266441108056672
S2285,METTUR - 85,VENKATACHALAM. G,All India Anna Dravida Munnetra Kazhagam,85347,1151,86498,37.43,30/30,11:30 PM,04/05/2026,All India Anna Dravida Munnetra Kazhagam,AIADMK,1,86498,67393,19105,22.087215889384726
S22100,MODAKKURICHI - 100,D.SHANMUGAN,Tamilaga Vettri Kazhagam,59978,737,60715,31.83,21/21,11:30 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,60715,58285,2430,4.002305855225233
S22212,MUDHUKULATHUR - 212,R.S.RAJAKANNAPPAN,Dravida Munnetra Kazhagam,67117,886,68003,29.39,31/31,11:27 PM,04/05/2026,Dravida Munnetra Kazhagam,DMK,1,68003,51405,16598,24.4077467170566
S22145,MUSIRI - 145,M.VIGNESH,Tamilaga Vettri Kazhagam,70317,964,71281,37.69,21/21,11:27 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,71281,53839,17442,24.469353684712615
S2225,MYLAPORE - 25,VENKATARAMANAN. P,Tamilaga Vettri Kazhagam,69748,322,70070,46.53,21/21,11:27 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,70070,41098,28972,41.34722420436706
S22163,NAGAPATTINAM - 163,M.H.JAWAHIRULLAH,Dravida Munnetra Kazhagam,55695,610,56305,37.21,19/19,11:27 PM,04/05/2026,Dravida Munnetra Kazhagam,DMK,1,56305,46524,9781,17.371459017849215
S22230,NAGERCOIL - 230,AUSTIN,Dravida Munnetra Kazhagam,68656,1224,69880,35.6,23/23,11:30 PM,04/05/2026,Dravida Munnetra Kazhagam,DMK,1,69880,62310,7570,10.832856325128793
S2294,NAMAKKAL - 94,DILIP C S,Tamilaga Vettri Kazhagam,78916,828,79744,37.56,23/23,11:27 PM,04/05/2026,Tamilaga Vettri Kazhagam,TVK,1,79744,68736,11008,13.804173354735152
